College_Name,Location,Affiliation/Accreditation,Courses_Offered,Fees (INR),Ranking,Entrance_Exam,Scholarships_Offered,Placement_Rate (%),Average_Salary (INR),Infrastructure_Facilities,Admission_Process,Application_Fees (INR),Student_Intake,Campus_Area (Acres),Hostel_Fees (INR),Mode_of_Education,Contact_Details,Link_to_College_Website
Rajasthan Technical University,Kota,"AICTE, NBA, NAAC","CSE, ECE, ME, Civil, EE","2,50,000",50,"REAP, JEE Main","Merit-based, Govt Scholarships",85%,"5,50,000","Labs, Library, Sports Complex, Hostel",Online Counseling,"1,000",200,385,"50,000",Full-time,"info@rtu.ac.in, +91-1234567890",www.rtu.ac.in
"Birla Institute of Technology, Pilani",Pilani,"Deemed, NAAC 'A+'","CSE, EEE, ECE, ME, Civil","4,25,000",6,BITSAT,"Merit-based, Need-based",95%,"12,00,000","Hostels, Research Labs, Library",Direct Application,"3,400",1000,328,"85,000",Full-time,admissions@bits-pilani.ac.in,www.bits-pilani.ac.in
Jaipur Engineering College,Jaipur,"RTU, AICTE","CSE, ECE, IT, ME, EE","1,80,000",150,"REAP, JEE Main",Merit-based,80%,"4,50,000","Hostels, Labs, Transport Facility",Online Counseling,750,400,100,"40,000",Full-time,"info@jecjaipur.ac.in, +91-987654321",www.jecjaipur.ac.in
JECRC University,Jaipur,"UGC, NAAC 'B+'","CSE, IT, ECE, Mechanical","2,50,000",80,"REAP, JEE Main","Merit-based, Industry-sponsored",88%,"6,00,000","Hostels, Wi-Fi Campus, Library",Online/Offline,"2,000",800,32,"60,000",Full-time,info@jecrcuniversity.edu.in,www.jecrcuniversity.edu.in
Poornima College of Engineering,Jaipur,"RTU, AICTE","CSE, ECE, EE, ME, IT","2,20,000",110,"REAP, JEE Main",Merit-based,82%,"5,00,000","Hostels, Labs, Transport Facility",Online Counseling,"1,500",500,120,"55,000",Full-time,"info@poornima.org, +91-9988776655",www.poornima.org
Maharishi Arvind Institute of Tech,Jaipur,"AICTE, RTU","CSE, ME, EE, Civil","2,00,000",120,"REAP, JEE Main","Merit-based, Govt Scholarships",75%,"4,00,000","Hostels, Gym, Wi-Fi Campus",Online Counseling,"1,000",300,75,"45,000",Full-time,"info@mait.ac.in, +91-1112223334",www.mait.ac.in
LNM Institute of Information Tech.,Jaipur,"Deemed, NAAC 'A'","CSE, ECE, ME, AI, Data Science","3,50,000",40,LNMIIT Entrance,"Merit-based, Need-based",90%,"9,00,000","Hostels, Research Labs, Library",Direct Application,"2,500",600,100,"70,000",Full-time,"info@lnmiit.ac.in, +91-987654312",www.lnmiit.ac.in
Arya College of Engineering & IT,Jaipur,"AICTE, RTU","CSE, IT, ECE, ME, EE","1,75,000",130,"REAP, JEE Main",Merit-based,78%,"4,80,000","Hostels, Transport, Labs",Online Counseling,800,400,65,"42,000",Full-time,"info@aryacollege.in, +91-4561237",www.aryacollege.in
Global Institute of Technology,Jaipur,"AICTE, RTU","CSE, ECE, ME, Civil","2,00,000",140,"REAP, JEE Main",Merit-based,80%,"5,20,000","Labs, Hostels, Wi-Fi Campus",Online Counseling,"1,000",350,90,"50,000",Full-time,"info@gitjaipur.com, +91-789123456",www.gitjaipur.com
"Manipal University, Jaipur",Jaipur,"Deemed, NAAC 'A+'","CSE, IT, Data Science, AI, Mechanical","4,00,000",25,"MET, JEE Main","Merit-based, Industry-sponsored",93%,"10,00,000","Hostels, Labs, Research Facilities",Direct Application,"2,000",900,300,"75,000",Full-time,"info@jaipur.manipal.edu, +91-987654789",www.jaipur.manipal.edu
